year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1970,2,0,2,0,91,12,7,0,9,13,3,0,1,29,1,8,4,0,4,0,10,14,10,7,3,10,1,7,0,0,4,1,75,7,0,9,1,10,5,0,0,0,2,8,1,0,0,17,1,19,0
1971,0,0,1,0,112,1,0,0,2,6,7,2,1,3,1,1,1,0,0,0,2,7,4,2,0,1,0,0,1,0,5,0,34,5,0,5,2,2,2,1,0,0,0,3,0,1,0,0,0,0,0
1972,0,0,0,0,14,0,0,0,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1973,1,0,0,0,14,1,0,0,4,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1974,0,0,0,0,27,2,1,0,4,5,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,1,0,49,4,1,0,4,18,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,14,0,0,3,0,0,0,0,0,2,1,0,1,0,0,8,0,0,0
1976,0,0,1,0,21,0,0,0,5,6,0,0,0,2,0,0,0,1,0,1,2,6,0,0,0,0,0,0,0,1,1,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1977,0,0,0,0,32,0,0,0,4,6,0,0,0,4,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,3,0,26,0,0,2,0,2,1,0,0,0,1,0,0,1,0,12,0,0,0
1978,1,1,0,0,6,1,0,1,1,1,1,0,0,5,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,19,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1979,2,0,0,0,3,0,0,0,1,3,1,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,14,1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0
1980,0,0,1,0,12,1,1,0,3,2,2,0,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,14,0,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
1981,1,0,0,0,11,0,2,0,4,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,2,0,3,0,1,0,0,0,0
1982,0,0,2,0,6,0,1,0,2,7,0,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,14,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0
1983,1,0,0,2,1,0,1,0,6,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,10,0,1,0,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0
1984,0,0,0,0,6,2,0,1,3,2,2,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,1,0,0,0,0,7,0,0,3,8,0,0,0
1985,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,7,1,0,3,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0
1986,0,0,1,0,2,0,0,0,0,0,0,0,4,5,0,0,1,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,2,0,8,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1988,0,0,2,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
1989,1,0,2,0,9,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0
1990,0,0,1,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,1,0,0,3,1,0,0,0
1991,1,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
1992,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2,0,0,0,3,0,1,0,0,3,0,0,0,0,0,2,2,0,1,0,0,0,0
1994,0,0,0,0,10,0,0,0,2,4,0,0,0,1,0,3,2,0,0,1,0,1,0,1,1,2,2,0,0,0,1,0,7,0,0,4,0,0,0,0,0,1,0,2,0,1,3,2,0,2,0
1995,0,0,1,1,8,1,0,0,1,5,0,0,0,2,0,1,0,1,0,0,0,2,1,0,0,2,0,0,4,0,0,3,4,1,0,2,1,3,0,0,2,0,2,0,2,0,1,1,0,2,1
1996,1,0,2,0,3,0,0,0,1,3,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,2,3,0,0,0,0,1,1,1,0,1,3,0,0,0
1997,1,0,0,1,6,1,0,0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,3,3,1,0,0,0,0,2,2,0,1,1,0,0,0
1998,1,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1999,1,0,0,0,8,2,0,0,1,2,1,0,1,5,1,0,0,0,0,0,0,2,3,1,0,0,0,0,1,1,1,3,0,1,0,0,0,5,1,1,0,1,0,2,0,0,0,3,0,4,0
2000,0,0,6,0,4,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,2,0
2001,0,0,3,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,9,0,0,0,0,5,1,0,0,0,0,1,0,0,1,4,0,0,0
2002,0,0,0,0,1,2,0,0,0,2,0,0,0,3,1,4,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0
2003,1,0,0,0,12,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
2004,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0
2005,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2006,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2007,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2008,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
2009,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2010,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,5,0,0,0,0
2011,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
2012,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
2013,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0
2014,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,1,0,0,0,1,1,0,0,0,0,4,0,0,0,2,1,0,0
2015,0,0,0,0,6,2,1,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,0,1,0,0,3,2,2,1,1,0,0,0,0,2,0,3,3,0,0,1,1,0,0,0